,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,label
10,56,25,43,198,1,8,377,65,1129,14519,67,362,333,86,106,1759,62,650,1465,990,8282,158,39,25,21,217,25,18070,75,3,8052,141,6,14520,2,525,25,191,52,4696,69,13,146,306,14,2869,19,849,20,486,1.0
11,13,2471,84,8,198,246,17,54,51,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
12,2,406,65,561,376,1,242,198,46,2497,2853,101,136,12,126,82,1656,2049,46,8,1188,253,4,2,133,189,56,1163,7,12684,2,340,42,52,325,65,48,369,140,5,1144,194,6,402,48,75,58,1,343,52,1.0
13,252,173,10,57,33,145,358,129,135,3478,7,3349,4,2978,360,88,2781,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
14,55,156,114,161,49,15,218,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
15,665,2,109,2,34,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
16,8,223,444,142,110,133,8725,1384,2247,15637,835,2091,16020,273,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
17,1095,8,1753,6112,4,65,16,1,22,154,4218,8875,3927,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
18,65,5127,8573,25,138,684,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
19,39,535,26,225,172,69,3,202,12731,1583,347,271,3962,17173,93,941,198,86,107,1072,48,56,295,27,52,554,20,1218,4,102,93,1,2604,8,429,65,16,12,248,7864,17174,17175,0,0,0,0,0,0,0,0,1.0
20,189,40,49,26,6,78,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
21,120,231,5064,201,4,344,17,3,18,301,21,65,2882,158,19788,36,6528,2,52,6,25,29,90,54,21,209,57,219,129,13,93,189,25,5,172,296,21,256,264,39,263,11,23,217,17,2781,899,616,21,8662,1.0
22,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
23,6,55,99,4,12703,9833,12705,2595,12,51,7,7771,72,17,118,7,142,3,203,259,459,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
24,21,64,25,40,49,3798,68,64,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
25,61,414,3798,1218,3798,120,17,1117,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
26,2,205,366,5,486,65,189,86,1536,8,269,4,150,2,416,62,147,2,280,3180,8,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
27,382,6,86,3,388,13,137,198,91,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
28,26,21,24,78,8,172,222,62,111,568,6,161,194,67,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
29,288,17,293,1510,7,33,2,64,25,161,49,288,2,56,14593,8,6335,21,97,86,563,356,342,231,8,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
30,2,86,3,483,312,65,62,10976,19087,1982,32,57,7,74,106,10,65,77,10,3476,12,104,27,5,3146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
31,6,133,25,60,48,4830,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
32,168,280,11,37,54,8935,8,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
33,168,18,21,51,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
34,345,62,2386,21,235,52,2226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
35,2,29,888,13,36,410,27,76,245,1,81,5,258,890,6,28,4336,783,1388,53,26,18,12,93,15478,25,459,7,1816,307,105,1412,7,3,5478,15479,8254,6147,15480,0,0,0,0,0,0,0,0,0,0,0,1.0
36,362,1,822,21,292,78,104,107,52,1,43,625,4,161,1,4830,21,208,20,80,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
37,1082,69,142,20,1189,733,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
38,2,675,207,171,1775,158,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
39,86,125,40,359,2,25,48,8825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
40,6,107,131,88,9176,118,7,47,635,61,52,6,125,56,71,13,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
41,34,125,390,1,198,23,1872,63,305,810,36,233,171,309,142,1451,53,17174,62,14,1822,34,525,90,97,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
42,17,120,146,2807,482,138,40,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
43,24,6,247,381,11,54,45,343,12,3658,198,134,1472,39,88,134,142,41,424,2849,12,7194,94,21,525,1161,17,118,7,355,124,103,1574,62,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
44,2,376,1,54,14,2,157,130,51,37,13,63,81,1175,65,107,564,10,746,72,76,275,17376,462,19,2759,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
45,7354,167,8,270,21,21,109,13,65,103,746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
46,4,296,2,226,1,80,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
47,86,16,142,11,37,360,296,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
48,6,29,61,1136,25,16,1,22,19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
49,2,35,2,121,90,275,8666,18630,380,2806,10038,9,8668,2,140,18,242,7,3671,86,34,86,86,795,410,21,13,121,23,408,65,947,12,86,2639,2429,2,461,97,92,293,28,190,25,86,54,183,9,8,33,1.0
50,264,6,125,1550,20,28,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
51,21,4,8,208,3840,17,90,1,146,40,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
52,572,10816,898,23,320,181,179,2,86,2,25,112,48,78,48,80,32,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
53,149,43,240,161,12,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
54,17,18,260,36,443,1780,10,410,14,940,10065,71,62,134,238,2023,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
55,11967,18009,139,69,41,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
56,2,109,65,34,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
57,1812,7019,1,40,49,222,4815,13,72,69,275,226,69,591,110,45,11768,4,72,37,21,152,56,298,1,1148,194,51,25,2124,68,140,148,12,31,13,1342,17,232,4181,143,182,113,1740,7,6067,64,18,186,3735,1.0
58,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
59,105,231,1347,14,105,118,97,3,195,264,527,66,429,86,13,616,2,25,161,80,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
60,2,207,23,404,52,2,2539,3,68,200,20156,20,219,65,23,470,2,502,365,8599,344,687,4962,12594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
61,86,60,5415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
62,17,1082,10,71,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
63,6,376,90,109,65,2,35,130,45,37,21,142,81,1376,21,107,564,7,1118,21,76,275,3004,867,19,7141,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
64,362,75,1650,833,1,5,1312,155,126,144,422,2,120,26,36,14721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
65,128,138,459,40,49,20406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
66,161,80,147,17,4033,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
67,296,118,7,4031,7,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
68,53,6,25,101,1,100,207,25,899,86,25,231,45,11300,21,591,76,3,1608,128,29,14,2,6101,22,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
69,263,11,23,443,15,43,48,80,104,126,17,23,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
70,3287,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
71,2,55,43,19,69,14086,131,404,59,134,327,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
72,58,8,150,407,11945,56,2,22,126,36,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
73,3689,97,2,109,6,73,373,812,9,158,17245,8213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
74,23,2287,160,62,20,180,7,54,51,91,12,168,500,56,54,51,33,9,5,5719,6,342,11,3234,2787,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
75,2353,6561,6,182,66,65,112,16084,24,112,32,143,90,21,353,39,94,39,35,296,17,62,116,2,24,182,170,363,35,176,28,1367,20,62,2,125,297,143,161,0,0,0,0,0,0,0,0,0,0,0,1.0
76,6,86,2,25,112,143,834,3,357,14,17,90,142,11,899,768,2,14721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
77,6,107,766,1,5415,62,14,9232,18387,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
78,1314,17,214,5,7918,4036,1,191,3,17293,4357,249,2,24,101,1,2292,826,42,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
79,8,186,10,23,141,86,309,163,81,12254,275,630,1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
80,65,101,143,22,123,88,684,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
81,2267,1721,110,8,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
82,41,486,303,15,134,353,86,10,1203,405,1962,21,121,3030,69,182,1,286,9,8,106,86,602,130,48,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
83,14,113,113,47,602,94,6649,14,442,144,309,65,210,19,7,2624,270,25,247,7733,169,237,88,32,362,1080,1062,512,9,8,593,10097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
84,43,173,65,4830,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
85,1880,103,4521,17385,62,90,2043,249,69,134,1500,575,1207,3317,36,1,87,4884,17386,2,141,6,18,77,17047,14,65,52,10,25,3,645,42,739,54,158,37,347,3257,6,461,371,97,0,0,0,0,0,0,0,1.0
86,6401,20,918,823,4,107,768,20,401,92,74,2,205,65,369,38,665,13,2,1116,75,194,409,25,294,53,25,35,510,4,65,189,2073,38,13,180,107,18,662,1,54,396,21,21,133,16,1,189,0,0,1.0
87,61,2727,141,97,2,65,112,11,57,61,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
88,133,60,118,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
89,2,226,48,6655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
90,55,1959,14,195,386,194,3,205,21,14,18,21,264,86,14,606,10,25,214,394,3,13,14,71,83,172,4,17,1442,57,195,69,3,2413,341,5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
91,482,9,14,1969,899,13,25,3361,9,3,18928,17,3,8,385,17,18,3660,113,86,14721,2,2935,1971,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
92,21,927,124,103,9,7,8615,1,8,111,33,410,142,78,571,13,86,205,94,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
93,61,333,86,2,1,739,100,311,316,14,14,8,6474,10,910,63,316,4,1,88,86,245,56,65,8,424,2,16,1,2611,4,22,646,527,86,55,547,86,55,78,218,2922,264,49,828,21,2,56,5415,3890,1.0
94,6,88,60,55,97,2,525,17,21,171,17,359,59,28,4303,797,10,65,4,48,75,54,3,182,1,177,10,6,755,86,65,14,234,72,66,23,809,245,7,309,922,10,10808,69,0,0,0,0,0,0,1.0
95,104,648,3,105,88,118,86,18,185,1,393,15,80,4231,53,1132,603,45,1641,525,60,90,378,65,150,3444,5640,92,125,135,92,137,440,3,80,205,264,94,36,117,484,4231,561,16769,0,0,0,0,0,0,1.0
96,2,133,65,226,143,261,21,163,88,1224,4,15,86,271,61,788,265,15484,25,468,12,146,22,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
97,2781,22,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
98,362,495,1117,410,1,2084,20,324,2,35,1848,21,52,35,2,90,182,2,157,156,20,245,1,7466,120,876,17,409,1023,62,1,1354,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
99,50,210,23,23,23,118,17,131,690,3,182,347,6,94,225,71,8,936,223,21,225,906,88,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
100,1285,2,157,88,133,161,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
101,591,500,216,7733,27,18,310,32,6,16,15,6655,86,130,52,223,113,11,55,2319,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
102,429,6,65,29,97,1149,26,20,263,125,154,148,34,30,86,1,127,273,460,3,618,65,89,23,335,14,348,403,218,67,66,86,140,56,36,277,65,34,112,177,143,0,0,0,0,0,0,0,0,0,1.0
103,33,741,142,51,746,2,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
104,21,19,76,28,829,7,195,21,360,1266,6,55,161,97,57,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
105,410,2,416,3,89,168,280,193,62,2386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
106,17,415,132,985,6,2,425,8,4621,7039,264,39,20,839,1,19246,410,25,86,2,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
107,46,69,8796,9289,131,9290,65,296,207,371,264,192,33,261,6,2,60,22,903,97,18,65,21,334,12,8077,3209,544,626,3480,34,296,135,65,619,296,1232,854,349,2809,61,114,195,126,86,31,0,0,0,0,1.0
108,259,569,4403,3,65,43,78,6,15629,21,4830,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
109,182,317,14,3476,157,235,8,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
110,364,706,5,3,106,2,121,4031,346,16,71,69,97,21,128,54,51,812,21,4,450,12,84,14,418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
111,24,112,32,362,2,109,13,73,313,65,39,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
112,161,14,14094,21,7264,809,15729,9,41,363,2781,62,480,56,93,58,68,54,3530,40,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
113,55,182,65,482,12635,14167,27,6912,8,332,65,1160,2,86,103,401,5,178,20,228,52,62,202,1446,227,63,21,11,12638,52,9,679,25,41,72,5173,177,48,2935,42,12,844,65,6,16,15,0,0,0,0,1.0
114,2,101,1,14721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
115,10,8,6657,14,26,2,205,1503,396,86,100,142,143,81,8232,46,1324,176,2,406,14,47,112,48,264,62,14,560,347,26,65,29,4403,320,320,14,2,100,396,209,23,476,21,65,21,133,189,362,52,54,1.0
116,927,105,670,286,988,6,14721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
117,2,1205,189,65,65,1,81,844,2,195,194,14,58,97,62,456,27,42,9389,267,1117,12,38,3,1296,515,1,4403,7,1394,2,1958,121,362,1,58,13,198,7,8,270,38,241,0,0,0,0,0,0,0,1.0
118,107,90,684,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
119,2,100,32,26,2,121,20,111,626,168,182,49,142,191,6612,8,2896,27,814,891,4,468,7,264,1,45,19,163,8604,48,58,68,513,17784,2235,14,342,19101,12,97,100,14,223,10,21,507,213,68,1607,6470,1.0
120,33,18,145,358,12924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
121,2068,26,175,1119,98,555,798,5,797,798,258,1577,14,42,798,105,3,2203,4701,76,24,29,8,3208,4,21,495,60,99,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
122,13,157,204,1295,84,8,270,21,1171,5,245,144,62,28,190,65,115,1153,8574,35,1740,45,21,346,277,2,155,2944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
123,1095,1,111,1693,275,7348,2867,25,5,1464,1760,1,5415,899,140,11,12862,90,52,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
124,86,227,17044,8,1472,65,13,66,342,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
125,21,135,461,208,375,160,153,52,86,11,3,134,588,4060,120,65,2526,65,38,241,15,6,113,1,56,236,66,73,451,69,327,597,68,269,35,132,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
